Start,Goal,GBFS Cost,GBFS Time (s),A* Cost,A* Time (s)
"(178, 180)","(176, 180)",2,0.0,2,0.0
"(380, 313)","(384, 300)",17,0.0,17,0.0019998550415039062
"(675, 635)","(739, 627)",72,0.0,72,0.004999876022338867
"(492, 168)","(578, 88)",166,0.0009999275207519531,166,0.011001825332641602
"(166, 284)","(194, 137)",175,0.0,175,0.00899815559387207
"(622, 785)","(400, 190)",1423,0.06400036811828613,905,0.5908629894256592
"(79, 847)","(936, 594)",1298,0.008414506912231445,1264,0.5931906700134277
"(191, 139)","(799, 1007)",2010,0.03900027275085449,1476,0.7713625431060791
"(837, 776)","(1, 102)",2044,0.010002374649047852,1626,0.15856170654296875
"(3, 19)","(1002, 1005)",2513,0.042000532150268555,1985,1.3117384910583496
